amfi_code,annualized_return_pct
100016,2.5434874968783827
100025,4.298652494927047
100033,28.92786602653088
101206,22.626535384993396
101207,7.650158706195587
101208,6.2738967442827365
102885,17.54041909151418
102886,1.1304481066713112
102887,16.20550058321799
118632,23.116077255008193
118633,15.661395483825524
118634,15.756667292982707
118635,15.357116291589868
118636,5.125853868983454
119092,6.138099361837401
119093,7.6105019563763365
119094,27.1024728933271
119095,1.4677909675495204
119120,5.677262981067255
119551,24.79659784157253
119552,20.69678974696634
119598,31.126560032445983
119599,1.9817724717167584
120503,18.070820555282662
120504,22.39354198337271
120505,31.512437994004827
120506,16.439416926901053
120507,6.9752416519982985
120841,13.028336972322684
120842,6.459250268658279
120843,29.677649274395932
120844,6.665013659448804
125497,18.29378597431117
125498,10.88492078875596
148567,29.74136125393794
148568,21.6479764248394
148569,30.673611122544674
149322,12.894863151904712
149323,28.409564547344026
149324,30.9965179599899
